projectId,department,document_type,title,progress,views,project_card_size_Kb
146075,Минтруд России,Проект ведомственного акта,"О внесении изменений в форму и порядок заполнения протокола проведения медико-социальной экспертизы гражданина, утвержденные приказом Министерства труда и социальной защиты Российской Федерации от 4 июля 2022 г. № 389н",1,200,0.521484375
146072,Росстат,Проект ведомственного акта,Об утверждении Положения об организации и ведении гражданской обороны в центральном аппарате и территориальных органах Федеральной службы государственной статистики,1,162,0.4228515625
146071,Рослесхоз,Проект ведомственного акта,"Об утверждении Административного регламента Федерального агентства лесного хозяйства по предоставлению государственной услуги «Предварительное согласование предоставления лесных участков, расположенных на землях лесного фонда, для реализации приоритетных инвестиционных проектов в целях развития лесного комплекса»",1,198,0.5732421875
146070,Минпросвещения России,Проект ведомственного акта,"Приказ ""Об утверждении федерального государственного образовательного стандарта среднего профессионального образования по специальности 25.02.01 Техническая эксплуатация летательных аппаратов и двигателей""",1,157,0.51953125
146074,Минобрнауки России,Проект ведомственного акта,"О внесении изменений в правила формирования перечня рецензируемых научных изданий, в которых должны быть опубликованы основные научные результаты диссертаций
на соискание ученой степени кандидата наук, на соискание ученой степени доктора наук, утвержденные приказом Министерства науки
и высшего образования Российской Федерации
от 31 мая 2023 г. № 534",1,233,0.5859375
146069,Минпросвещения России,Проект ведомственного акта,"Приказ ""Об утверждении федерального государственного образовательного стандарта среднего профессионального образования по специальности 23.02.09 Автоматика и телемеханика на транспорте (железнодорожном транспорте)""",1,156,0.5341796875
146068,Федеральное агентство по делам национальностей,Проект постановления Правительства Российской Федерации,"Об утверждении Порядка подготовки и распространения, в том числе опубликования, ежегодного государственного доклада о реализации государственной национальной политики Российской Федерации",1,175,0.591796875
146067,Минпросвещения России,Проект ведомственного акта,"Приказ ""Об утверждении федерального государственного образовательного стандарта среднего профессионального образования по профессии 23.01.19 Оператор по обработке перевозочных документов на железнодорожном транспорте""",1,159,0.541015625
146066,Минобрнауки России,Проект ведомственного акта,"О внесении изменения в пункт 2 Порядка предоставления из федерального бюджета федеральному государственному бюджетному образовательному учреждению высшего образования «Московский государственный университет имени М.В. Ломоносова», федеральному государственному бюджетному образовательному учреждению высшего образования «Российская академия народного хозяйства и государственной службы при Президенте Российской Федерации», федеральному государственному бюджетному образовательному учреждению высшего образования «Российская академия живописи, ваяния и зодчества Ильи Глазунова», федеральному государственному бюджетному образовательному учреждению высшего образования «Санкт-Петербургский государственный университет» субсидий в соответствии с абзацем вторым пункта 1 статьи 78.1 Бюджетного кодекса Российской Федерации, утвержденный приказом Министерства науки и высшего образования Российской Федерации от 3 марта 2021 г. № 149",1,172,0.5908203125
146065,Минпросвещения России,Проект ведомственного акта,"Приказ ""Об утверждении федерального государственного образовательного стандарта среднего профессионального образования по профессии 23.01.17 Мастер по ремонту и обслуживанию автомобилей""",1,175,0.482421875
146064,Минтранс России,Проект постановления Правительства Российской Федерации,"Об утверждении требований по обеспечению транспортной безопасности, в том числе требований к антитеррористической защищенности объектов (территорий), учитывающих уровни безопасности для объектов транспортной инфраструктуры морского и внутреннего водного транспорта, не подлежащих категорированию, предназначенных для обслуживания пассажиров и транспортных средств морского и внутреннего водного транспорта",0.678571,302,0.6328125
146063,Минпросвещения России,Проект ведомственного акта,"Приказ ""Об утверждении федерального государственного образовательного стандарта среднего профессионального образования по профессии 18.01.08 Мастер по изготовлению, обработке, отделке деталей и изделий из стекла""",1,167,0.52734375
146062,Минпросвещения России,Проект ведомственного акта,"Приказ ""Об утверждении федерального государственного образовательного стандарта среднего профессионального образования по профессии 13.01.16 Электромонтер по техническому обслуживанию и ремонту оборудования подстанций и сетей""",1,168,0.556640625
146060,Минпросвещения России,Проект ведомственного акта,"Приказ ""Об утверждении федерального государственного образовательного стандарта среднего профессионального образования по специальности 09.02.10 Разработка компьютерных игр, дополненной и виртуальной реальности""",1,325,0.529296875
146061,Минэкономразвития России,Проект ведомственного акта,"О внесении изменений в Перечень областей специализации
технических экспертов, утвержденный приказом Минэкономразвития России от 23 мая 2014 г. № 285",1,234,0.4130859375
146059,Минобороны России,Проект ведомственного акта,"Об учреждении почетного звания Министерства обороны Российской Федерации ""Почетный специалист инженерных войск""",1,216,0.3427734375
146057,Минпросвещения России,Проект ведомственного акта,"Приказ ""Об утверждении федерального государственного образовательного стандарта среднего профессионального образования по специальности 08.02.12 Строительство и эксплуатация автомобильных дорог, аэродромов и городских путей сообщения""",1,180,0.5712890625
146056,Росгидромет,Проект ведомственного акта,"О внесении изменения в Перечень работ федерального назначения в области гидрометеорологии и смежных с ней областях, утвержденный приказом Росгидромета от 13 июля 2021 г. № 218",1,182,0.4453125
146055,Росгидромет,Проект ведомственного акта,"Об утверждении Административного регламента Федеральной службы по гидрометеорологии и мониторингу окружающей среды по предоставлению государственной услуги
«Лицензирование деятельности в области гидрометеорологии и смежных с ней областях (за исключением указанной деятельности, осуществляемой в ходе инженерных изысканий, выполняемых для подготовки проектной документации, строительства, реконструкции объектов капитального строительства)»",1,197,0.5751953125
146051,Роснедра,Проект ведомственного акта,Об утверждении Порядка получения федеральными государственными гражданскими служащими Федерального агентства по недропользованию и его территориальных органов разрешения представителя нанимателя на участие на безвозмездной основе в управлении некоммерческими организациями,1,196,0.5732421875
146050,Минтруд России,Проект постановления Правительства Российской Федерации,О внесении изменений в Положение о Министерстве труда и социальной защиты Российской Федерации,1,220,0.359375
146049,Минтруд России,Проект ведомственного акта,"Об утверждении поправочного коэффициента размера средней рыночной стоимости 1 кв. метра общей площади жилья, применяемого для расчета единовременной субсидии на приобретение жилого помещения, предоставляемой
федеральным государственным гражданским служащим, проходящим федеральную государственную гражданскую службу в субъектах Российской Федерации - городах федерального значения, на II квартал 2024 года",0,160,0.599609375
146048,МИД России,Проект ведомственного акта,"О внесении изменения в пункт 11 Служебного распорядка центрального аппарата Министерства иностранных дел Российской Федерации, территориальных органов - представительств Министерства иностранных дел Российской Федерации на территории Российской Федерации, дипломатических представительств и консульских учреждений Российской Федерации, представительств Российской Федерации при международных организациях (межгосударственных, межправительственных), утвержденных приказом Министерства иностранных дел Российской Федерации от 23 июля 2009 г. № 11868",1,203,0.5751953125
146045,Минсельхоз России,Проект ведомственного акта,приказа Минсельхоза России «Об утверждении порядка проведения инвентаризации виноградных насаждений»,1,416,0.3369140625
146046,МИД России,Проект ведомственного акта,"О внесении изменений в Положение о территориальном органе - Представительстве Министерства иностранных дел Российской Федерации на территории Российской Федерации и Перечень территориальных органов - Представительств Министерства иностранных дел Российской Федерации на территории Российской Федерации, утвержденные приказом Министерства иностранных дел Российской Федерации от 22 ноября 2011 г. № 21341",1,211,0.578125
146047,Минобрнауки России,Проект ведомственного акта,"Об утверждении требований к размещению, хранению и использованию аптечек для оказания первой помощи в организациях, осуществляющих образовательную деятельность
(образовательных организациях высшего образования и научных организациях, реализующих образовательные программы высшего образования)",1,264,0.60546875
146043,Минсельхоз России,Проект постановления Правительства Российской Федерации,О внесении изменения в постановление Правительства Российской Федерации от 30 июня 2021 г. № 1079,1,214,0.359375
146042,Минтруд России,Проект ведомственного акта,"Об утверждении Порядка и условий перевода, выписки и временного выбытия из стационарной организации социального обслуживания, предназначенной для лиц, страдающих психическими расстройствами",1,247,0.48046875
146041,Минтранс России,Проект ведомственного акта,"О внесении изменений в Перечень должностей в организациях, созданных для выполнения задач, поставленных перед Министерством транспорта Российской Федерации, при назначении на которые граждане и при замещении которых работники обязаны представлять сведения о своих доходах, об имуществе и обязательствах имущественного характера, а также сведения о доходах, об имуществе и обязательствах имущественного характера своих супруги (супруга) и несовершеннолетних детей, утвержденный приказом Министерства транспорта Российской Федерации от 5 июля 2023 г. № 244",1,214,0.5869140625
146040,Минтруд России,Проект ведомственного акта,"Об утверждении общих требований к организации посещения лица, находящегося в стационарной организации социального обслуживания, предназначенной для лиц, страдающих психическими расстройствами",1,236,0.4853515625
146037,Минфин России,Проект ведомственного акта,"О внесении изменений в приказ Министерства финансов Российской Федерации от 28 декабря 2010 г. № 191н «Об утверждении Инструкции о порядке составления и представления годовой, квартальной и месячной отчетности об исполнении бюджетов бюджетной системы Российской Федерации",1,352,0.5654296875
146038,Минтруд России,Проект постановления Правительства Российской Федерации,О внесении изменений в некоторые акты Правительства Российской Федерации,1,494,0.3203125
146036,Росфинмониторинг,Проект постановления Правительства Российской Федерации,"О внесении изменений в Положение о постановке на учет в Федеральной службе по финансовому мониторингу организаций, осуществляющих операции с денежными средствами или иным имуществом, и индивидуальных предпринимателей, в сфере деятельности которых отсутствуют контрольные (надзорные) органы",1,192,0.6435546875
146035,Росприроднадзор,Проект ведомственного акта,"О комиссиях по соблюдению требований к служебному поведению федеральных государственных служащих Росприроднадзора, его территориальных органов и работников организаций, созданных для выполнения задач, поставленных перед Росприроднадзором",1,117,0.572265625
146032,Рослесхоз,Проект ведомственного акта,"Об утверждении Административного регламента Федерального агентства лесного хозяйства по предоставлению государственной услуги «Предоставление лесных участков, расположенных на землях лесного фонда, для реализации приоритетных инвестиционных проектов в целях развития лесного комплекса»",0,206,0.58203125
146039,Минпромторг России,Проект ведомственного акта,Об утверждении Типового положения о художественно-экспертном совете по народным художественным промыслам,1,177,0.3330078125
146030,Генеральная прокуратура Российской Федерации,Проект ведомственного акта,Приказ Генерального прокурора Российской Федерации «О внесении изменений в отдельные организационно-распорядительные документы Генерального прокурора Российской Федерации»,1,177,0.5078125
146028,Генеральная прокуратура Российской Федерации,Проект ведомственного акта,"Приказ Генерального прокурора Российской Федерации «Об оплате стоимости проезда (компенсации расходов, связанных с оплатой стоимости проезда) к месту проведения основного отпуска и к месту лечения в санаторно-курортной организации, подведомственной Генеральной прокуратуре Российской Федерации, и обратно в органах и организациях прокуратуры Российской Федерации»",1,177,0.642578125
146029,Минтруд России,Проект ведомственного акта,"Об утверждении Примерного порядка создания и деятельности комиссий по рассмотрению вопросов о приеме в стационарную организацию социального обслуживания, предназначенную для лиц, страдающих психическими расстройствами, временном выбытии, переводе и выписке из нее",1,265,0.587890625
146027,Минюст России,Проект ведомственного акта,О внесении изменения в приказ Минюста России от 05.05.2023 № 97 «Об учреждении именных стипендий для студентов и аспирантов федеральных государственных образовательных организаций Министерства юстиции Российской Федерации,1,229,0.5263671875
146025,Рособрнадзор,Проект ведомственного акта,"Об утверждении форм заявлений о государственной аккредитации образовательной деятельности, о внесении изменений в сведения, содержащиеся в государственной информационной системе «Реестр организаций, осуществляющих образовательную деятельность по имеющим государственную аккредитацию образовательным программам»,
о предоставлении временной государственной аккредитации образовательной деятельности и перечня документов, прилагаемых к заявлению о проведении государственной аккредитации образовательной деятельности, к заявлению
 о внесении изменений в сведения, содержащиеся в государственной информационной системе «Реестр организаций, осуществляющих образовательную деятельность по имеющим государственную аккредитацию образовательным программам», в отношении ранее не аккредитованных образовательных программ, реализуемых организацией, осуществляющей образовательную деятельность, и требований
к их заполнению и оформлению",1,272,0.5849609375
146026,Минобороны России,Проект ведомственного акта,"Об учреждении почетного звания в Министерстве обороны Российской Федерации ""Почетный специалист инженерных войск""",0.0714286,189,0.3359375
146024,Минспорт России,Проект ведомственного акта,"О внесении изменений в нормы, требования и условия их выполнения по соответствующим видам спорта, включенные в Единую всероссийскую спортивную классификацию (виды спорта, включенные в программу Игр Олимпиады), утвержденную приказом Минспорта России от 20 декабря 2021 г. № 999",1,210,0.5859375
146023,Ростехнадзор,Проект ведомственного акта,"О внесении изменений в перечень индикаторов риска нарушения обязательных требований, используемых для осуществления федерального государственного лицензионного контроля за деятельностью по проведению экспертизы промышленной безопасности, утвержденный приказом Ростехнадзора от 17 мая 2023 г. № 185",1,285,0.58984375
146022,Минфин России,Проект ведомственного акта,"Об утверждении форм заявлений, форм разрешений таможенного органа, формы уведомления об отказе в выдаче разрешения на совершение операций, предусмотренных подпунктами 1, 2 и 5 пункта 4 статьи 205 Таможенного кодекса Евразийского экономического союза, и порядков заполнения указанных форм",1,223,0.5673828125
146021,Минфин России,Проект ведомственного акта,"Об утверждении форм заявлений, форм разрешений таможенного органа на совершение операций, предусмотренных подпунктами 1, 2 и 5 пункта 4 статьи 205 Таможенного кодекса Евразийского экономического союза, а также формы уведомления об отказе в выдаче разрешения на совершение операций, предусмотренных подпунктом 5 пункта 4 статьи 205 Таможенного кодекса Евразийского экономического союза",1,224,0.5712890625
146018,МВД России,Проект Указа Президента Российской Федерации,"О внесении изменений в Государственную программу по оказанию содействия добровольному переселению в Российскую Федерацию соотечественников, проживающих за рубежом, утвержденную Указом Президента Российской Федерации от 22 июня 2006 г. № 637",1,371,0.587890625
146019,Росреестр,Проект ведомственного акта,"Об установлении перечня пространственных данных и материалов, подлежащих включению в федеральный фонд пространственных данных",1,197,0.3544921875
146017,Минобрнауки России,Проект постановления Правительства Российской Федерации,О внесении изменений в некоторые акты Правительства Российской Федерации,1,268,0.328125
146016,ФФОМС,Проект ведомственного акта,Об установлении формы и порядка ведения отчетности № ЗПЗ «Организация защиты прав застрахованных лиц в сфере обязательного медицинского страхования»,1,294,0.388671875
146015,Минфин России,Проект ведомственного акта,"О внесении изменений в порядок совершения таможенных операций в отношении товаров для личного пользования, доставляемых в адрес физических лиц в качестве экспресс-грузов, включая операции по уплате таможенных пошлин, налогов, утвержденный приказом Министерства финансов Российской Федерации от 26 апреля 2022 г. № 62н",0.714286,267,0.572265625
146014,Минэкономразвития России,Проект постановления Правительства Российской Федерации,О внесении изменений в постановление Правительства Российской Федерации от 14 февраля 2024 г. № 156,1,333,0.3779296875
146013,Минкультуры России,Проект ведомственного акта,Об утверждении Положения об организации и ведении гражданской обороны в Министерстве культуры Российской Федерации,1,207,0.3505859375
146012,Ростехнадзор,Проект федерального закона,О внесении изменений в статью 3 Федерального закона «Об использовании атомной энергии»,1,256,0.2861328125
146011,Ростехнадзор,Проект федерального закона,О внесении изменений в статью 3 Федерального закона «Об использовании атомной энергии»,1,237,0.2861328125
146008,Росморречфлот,Проект ведомственного акта,Об утверждении Административного регламента Федерального агентства морского и речного транспорта по предоставлению государственной услуги «Аккредитация юридических лиц в качестве подразделений транспортной безопасности в сфере морского и речного транспорта»,1,207,0.587890625
146009,Минобрнауки России,Проект постановления Правительства Российской Федерации,О присвоении статуса государственного научного центра Российской Федерации федеральному государственному бюджетному научному учреждению «Всероссийский научно-исследовательский институт рыбного хозяйства и океанографии»,1,204,0.6015625
